"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","POST /post/create without owner -> 400 BODY_NOT_VALID","tests.posts","Fri Feb 06 20:26:50 UTC 2026","passed","Fri Feb 06 20:26:50 UTC 2026","TestPostsNegative","test_post_negative","",""
"","267","Create Comment -> POST /comment/create","tests.comments","Fri Feb 06 20:26:36 UTC 2026","passed","Fri Feb 06 20:26:37 UTC 2026","TestComments","test_comments_regression","",""
"","635","Get Comments By Post -> GET /post/{post_id}/comment","tests.comments","Fri Feb 06 20:26:46 UTC 2026","passed","Fri Feb 06 20:26:47 UTC 2026","TestComments","test_comments_regression","",""
"","89","DELETE /post/{id} for non-existent id -> 404 RESOURCE_NOT_FOUND","tests.posts","Fri Feb 06 20:26:51 UTC 2026","passed","Fri Feb 06 20:26:51 UTC 2026","TestPostsNegative","test_post_negative","",""
"","138","GET /post/{id} for non-existent id -> 404 RESOURCE_NOT_FOUND","tests.posts","Fri Feb 06 20:26:50 UTC 2026","passed","Fri Feb 06 20:26:51 UTC 2026","TestPostsNegative","test_post_negative","",""
"","575","Get Comments By User -> GET /user/{user_id}/comment","tests.comments","Fri Feb 06 20:26:47 UTC 2026","passed","Fri Feb 06 20:26:48 UTC 2026","TestComments","test_comments_regression","",""
"","83","POST /post/create with invalid app-id -> 403 APP_ID_NOT_EXIST","tests.posts","Fri Feb 06 20:26:50 UTC 2026","passed","Fri Feb 06 20:26:50 UTC 2026","TestPostsNegative","test_post_negative","",""
"","410","Update Post -> PUT /post/{id}","tests.posts","Fri Feb 06 20:26:32 UTC 2026","passed","Fri Feb 06 20:26:32 UTC 2026","TestPosts","test_post_regression","",""
"","143","POST /comment/create missing post -> 400 BODY_NOT_VALID","tests.comments","Fri Feb 06 20:26:52 UTC 2026","passed","Fri Feb 06 20:26:52 UTC 2026","TestCommentsNegative","test_comments_negative","",""
"","112","GET /user without app-id -> 403 APP_ID_MISSING","tests.users","Fri Feb 06 20:26:49 UTC 2026","passed","Fri Feb 06 20:26:49 UTC 2026","TestUsersNegative","test_users_negative","",""
"","75","Get User by id -> GET /user/{id}","tests.users","Fri Feb 06 20:26:30 UTC 2026","passed","Fri Feb 06 20:26:30 UTC 2026","TestUsers","test_users_regression","",""
"","385","Delete Post -> DELETE /post/{id} (verify GET 404)","tests.posts","Fri Feb 06 20:26:32 UTC 2026","passed","Fri Feb 06 20:26:33 UTC 2026","TestPosts","test_post_regression","",""
"","220","Update User by id -> PUT /user/{id}","tests.users","Fri Feb 06 20:26:30 UTC 2026","passed","Fri Feb 06 20:26:30 UTC 2026","TestUsers","test_users_regression","",""
"","603","Comment flow (CREATE -> LIST by post -> LIST by user -> DELETE -> verify deleted)","tests.comments","Fri Feb 06 20:26:29 UTC 2026","passed","Fri Feb 06 20:26:29 UTC 2026","TestComments","test_comments_crud","",""
"","110","POST /post/create without app-id -> 403 APP_ID_MISSING","tests.posts","Fri Feb 06 20:26:50 UTC 2026","passed","Fri Feb 06 20:26:50 UTC 2026","TestPostsNegative","test_post_negative","",""
"","2947","Get Posts List -> GET /post","tests.posts","Fri Feb 06 20:26:33 UTC 2026","passed","Fri Feb 06 20:26:36 UTC 2026","TestPosts","test_post_regression","",""
"","114","GET wrong path -> 404 PATH_NOT_FOUND","tests.posts","Fri Feb 06 20:26:51 UTC 2026","passed","Fri Feb 06 20:26:51 UTC 2026","TestPostsNegative","test_post_negative","",""
"","204","GET /user/{bad_id} -> 400 PARAMS_NOT_VALID","tests.users","Fri Feb 06 20:26:49 UTC 2026","passed","Fri Feb 06 20:26:50 UTC 2026","TestUsersNegative","test_users_negative","",""
"","455","Delete Comment -> DELETE /comment/{id} (verify deleted)","tests.comments","Fri Feb 06 20:26:48 UTC 2026","passed","Fri Feb 06 20:26:49 UTC 2026","TestComments","test_comments_regression","",""
"","576","User flow (CREATE -> GET by id -> UPDATE -> GET by id -> DELETE -> GET 404)","tests.users","Fri Feb 06 20:26:27 UTC 2026","passed","Fri Feb 06 20:26:27 UTC 2026","TestUsers","test_users_crud","",""
"","100","GET /user/{id} not found -> 404 RESOURCE_NOT_FOUND","tests.users","Fri Feb 06 20:26:50 UTC 2026","passed","Fri Feb 06 20:26:50 UTC 2026","TestUsersNegative","test_users_negative","",""
"","148","Delete User -> DELETE /user/{id} (verify deleted)","tests.users","Fri Feb 06 20:26:30 UTC 2026","passed","Fri Feb 06 20:26:30 UTC 2026","TestUsers","test_users_regression","",""
"","105","GET wrong path -> 404 PATH_NOT_FOUND","tests.comments","Fri Feb 06 20:26:52 UTC 2026","passed","Fri Feb 06 20:26:52 UTC 2026","TestCommentsNegative","test_comments_negative","",""
"","580","Post flow (CREATE -> GET by id -> UPDATE -> GET by id -> DELETE -> GET 404)","tests.posts","Fri Feb 06 20:26:28 UTC 2026","passed","Fri Feb 06 20:26:28 UTC 2026","TestPosts","test_post_crud","",""
"","71","GET /post/{bad_id} -> 400 PARAMS_NOT_VALID","tests.posts","Fri Feb 06 20:26:50 UTC 2026","passed","Fri Feb 06 20:26:50 UTC 2026","TestPostsNegative","test_post_negative","",""
"","127","POST /user/create with missing required fields -> 400 BODY_NOT_VALID","tests.users","Fri Feb 06 20:26:49 UTC 2026","passed","Fri Feb 06 20:26:49 UTC 2026","TestUsersNegative","test_users_negative","",""
"","194","POST /comment/create missing owner -> 400 BODY_NOT_VALID","tests.comments","Fri Feb 06 20:26:51 UTC 2026","passed","Fri Feb 06 20:26:51 UTC 2026","TestCommentsNegative","test_comments_negative","",""
"","0","Create User -> POST /user/create","tests.users","Fri Feb 06 20:26:29 UTC 2026","passed","Fri Feb 06 20:26:29 UTC 2026","TestUsers","test_users_regression","",""
"","80","POST /comment/create with invalid app-id -> 403 APP_ID_NOT_EXIST","tests.comments","Fri Feb 06 20:26:51 UTC 2026","passed","Fri Feb 06 20:26:51 UTC 2026","TestCommentsNegative","test_comments_negative","",""
"","115","Create Post -> POST /post/create","tests.posts","Fri Feb 06 20:26:31 UTC 2026","passed","Fri Feb 06 20:26:31 UTC 2026","TestPosts","test_post_regression","",""
"","242","Get List By User -> GET /user/{user_id}/post (contains created post)","tests.posts","Fri Feb 06 20:26:36 UTC 2026","passed","Fri Feb 06 20:26:36 UTC 2026","TestPosts","test_post_regression","",""
"","88","GET /post/{bad_id}/comment -> 400 PARAMS_NOT_VALID","tests.comments","Fri Feb 06 20:26:52 UTC 2026","passed","Fri Feb 06 20:26:52 UTC 2026","TestCommentsNegative","test_comments_negative","",""
"","167","Get Post by id -> GET /post/{id}","tests.posts","Fri Feb 06 20:26:31 UTC 2026","passed","Fri Feb 06 20:26:31 UTC 2026","TestPosts","test_post_regression","",""
"","65","DELETE /user/{id} not found -> 404 RESOURCE_NOT_FOUND","tests.users","Fri Feb 06 20:26:50 UTC 2026","passed","Fri Feb 06 20:26:50 UTC 2026","TestUsersNegative","test_users_negative","",""
"","106","GET /user with invalid app-id -> 403 APP_ID_NOT_EXIST","tests.users","Fri Feb 06 20:26:49 UTC 2026","passed","Fri Feb 06 20:26:49 UTC 2026","TestUsersNegative","test_users_negative","",""
"","112","DELETE /comment/{id} for non-existent id -> 404 RESOURCE_NOT_FOUND","tests.comments","Fri Feb 06 20:26:52 UTC 2026","passed","Fri Feb 06 20:26:52 UTC 2026","TestCommentsNegative","test_comments_negative","",""
"","106","Get Users List -> GET /user","tests.users","Fri Feb 06 20:26:30 UTC 2026","passed","Fri Feb 06 20:26:30 UTC 2026","TestUsers","test_users_regression","",""
"","90","GET wrong path -> 404 PATH_NOT_FOUND","tests.users","Fri Feb 06 20:26:50 UTC 2026","passed","Fri Feb 06 20:26:50 UTC 2026","TestUsersNegative","test_users_negative","",""
"","60","POST /post/create without text -> 400 BODY_NOT_VALID","tests.posts","Fri Feb 06 20:26:50 UTC 2026","passed","Fri Feb 06 20:26:50 UTC 2026","TestPostsNegative","test_post_negative","",""
"","112","POST /comment/create without app-id -> 403 APP_ID_MISSING","tests.comments","Fri Feb 06 20:26:51 UTC 2026","passed","Fri Feb 06 20:26:51 UTC 2026","TestCommentsNegative","test_comments_negative","",""
"","9092","Get Comments List -> GET /comment","tests.comments","Fri Feb 06 20:26:37 UTC 2026","passed","Fri Feb 06 20:26:46 UTC 2026","TestComments","test_comments_regression","",""
